comid,tocomid,water,snow,developed_op,developed_lw,developed_md,developed_hg,barren,forest_dcd,forest_evg,forest_mxd,shrub,grass,pasture,crops,wetland_wood,wetland_herb,basin,forest_scp,grass_scp,shrub_scp,water_scp,human_scp,barren_scp,ht,hmax,hrel,simpson_d
24127481,24127471,0,0,1.88,0.15,0,0,0,0,91.3,0,4.8,1.63,0,0,0.15,0.09,yakima,91.3,1.63,4.8,0.24,2.03,0,0.561994714,2.584962501,0.217409233,0.16344346
24127483,24127489,0,0,3.87,0.1,0,0,0,0,91.96,0,2.96,1.11,0,0,0,0,yakima,91.96,1.11,2.96,0,3.97,0,0.51838386,2.584962501,0.200538252,0.15176038
24127485,24127489,0,0,1.86,0.54,0,0,0,0,92.15,0,4.07,1.38,0,0,0,0,yakima,92.15,1.38,4.07,0,2.4,0,0.511084122,2.584962501,0.197714327,0.14841482
24127487,24127537,0,0,0,0.11,0,0,0,0,81.34,0,6.4,11.94,0,0,0.21,0,yakima,81.34,11.94,6.4,0.21,0.11,0,0.891760177,2.584962501,0.344979928,0.32002246
24127489,24127491,0,0,2.13,0.17,0,0,0,0,91.68,0,4.75,1.27,0,0,0,0,yakima,91.68,1.27,4.75,0,2.3,0,0.528869717,2.584962501,0.204594735,0.15653122
24127491,24129841,0,0,2.06,0.17,0,0,0,0,90.99,0,4.9,1.76,0,0,0.09,0.04,yakima,90.99,1.76,4.9,0.13,2.23,0,0.574633241,2.584962501,0.222298482,0.16887225
24127493,24125701,0,0,0,0,0,0,0,0,84.88,0,10.85,3.76,0,0,0.5,0,yakima,84.88,3.76,10.85,0.5,0,0,0.76452032,2.584962501,0.295756832,0.26632755
24127495,24125563,0,0,0.25,4.64,1.27,0.32,3.11,0,81.05,0,8.01,1.34,0,0,0,0,yakima,81.05,1.34,8.01,0,6.48,3.11,1.032270047,2.584962501,0.399336566,0.33132793
24127497,24126161,0,0,3.97,2.65,0,0,0,0.24,61.76,0,28.37,1.13,0,0,1.88,0,yakima,62,1.13,28.37,1.88,6.62,0,1.383404352,2.584962501,0.535173857,0.53025074
24127499,24127533,0.06,0,6.28,4.25,2.12,0.76,0,0.7,59.84,0,20.85,1.05,0,0,4.1,0,yakima,60.54,1.05,20.85,4.16,13.41,0,1.558480755,2.584962501,0.602902655,0.57019497
24127501,24127559,0,0,1.23,0.4,0,0,0,0,78.19,0,12.8,7.32,0,0,0.06,0,yakima,78.19,7.32,12.8,0.06,1.63,0,1.036489503,2.584962501,0.400968874,0.3666241
24127503,24125549,0,0,1.96,0.52,0.03,0,0,0,68.07,0,15.24,12.5,0,0,1.69,0,yakima,68.07,12.5,15.24,1.69,2.51,0,1.399277745,2.584962501,0.541314524,0.49688113
24127505,24127517,0,0,0.53,0.24,0,0,0.43,0,74.91,0,13.87,9.88,0,0,0.14,0,yakima,74.91,9.88,13.87,0.14,0.77,0.43,1.138556886,2.584962501,0.440453928,0.40977032
24127507,24127497,0,0,4.5,5.5,0,0,0,0.43,39.26,0,47.89,1.71,0,0,0.71,0,yakima,39.69,1.71,47.89,0.71,10,0,1.521064539,2.584962501,0.588428087,0.60278236
24127509,24125555,0,0,0,3.34,0.39,0.06,0,0,91.7,0,4.12,0.39,0,0,0,0,yakima,91.7,0.39,4.12,0,3.79,0,0.514360622,2.584962501,0.198981851,0.15596194
24127511,24126717,0,0,0.11,0.45,0,0,0,0,84.27,0,10.16,5,0,0,0,0,yakima,84.27,5,10.16,0,0.56,0,0.801173664,2.584962501,0.309936281,0.27700279
24127513,24125745,0,0,0,0,0,0,0,0,79.12,0,15.58,5.3,0,0,0,0,yakima,79.12,5.3,15.58,0,0,0,0.909833804,2.584962501,0.351971761,0.34691992
24127515,24129733,0,0,0.39,0.45,0,0,0.06,0,89.9,0,8.49,0.58,0,0,0.13,0,yakima,89.9,0.58,8.49,0.13,0.84,0.06,0.560073518,2.584962501,0.216666013,0.18448474
24127517,24127531,0,0,1.23,0.37,0,0,0.3,0.13,71.34,0,14.26,11.76,0,0,0.61,0,yakima,71.47,11.76,14.26,0.61,1.6,0.3,1.275662218,2.584962501,0.49349351,0.45473718
24127519,24127495,0,0,0.14,4.3,1.36,0.36,3.51,0,80.72,0,8.53,1.08,0,0,0,0,yakima,80.72,1.08,8.53,0,6.16,3.51,1.040213391,2.584962501,0.40240947,0.33600886
