comid,logQ_m3_div_s,logRT_vertical_hz_s_fill,junk,doc,logq_hz_vertical_m_div_s_fill,logw_m,LengthKM,no3,do
23792481,-0.564734897,4.555833182,1.095629564,3.781120826,-4.936681656,0.509446883,0.435,2.468747822,10.14146883
23792483,-1.301210403,5.153760674,0.349918295,4.264697971,-5.928302055,0.129478261,2.353,2.331103442,9.105055296
23792485,-0.713153058,5.148213335,0.953460075,3.881644845,-5.639047032,0.437006051,1.14,2.057634114,10.26263763
23792487,-1.232194621,4.143194633,0.457488281,3.717322048,-4.824743388,0.184289313,2.896,2.090455925,10.14510667
23792489,-1.30790534,6.3770327,0.42772948,4.388048816,-7.962573502,0.169126058,3.589,2.636964306,7.868382353
23792491,-1.021745108,5.821799222,0.650598898,4.41104363,-7.118615343,0.282686613,1.653,2.795545357,8.097240536
23792497,-0.935171255,5.234315478,0.725682996,4.26313075,-5.853747898,0.320944853,0.794,2.134989423,10.39466014
23792499,-0.690984678,6.116417583,1.071182156,4.353419426,-6.931443105,0.496989986,0.101,2.75381797,7.868382353
23792501,-1.300964413,4.580957931,0.345354123,4.279091082,-5.332836673,0.12715264,1.716,2.59682767,8.563652212
23792503,-0.69237539,4.347322946,1.069819741,4.353522158,-4.695858599,0.496295783,0.247,2.758075611,7.868382353
23792505,-0.080213853,6.257660031,1.627014387,4.228754525,-6.7000571,0.780207922,0.118,2.073235677,8.813383514
23792507,-0.685465945,5.726193626,1.001789943,4.391730602,-6.269217724,0.46163198,2.391,2.646145215,8.149427573
23792509,-0.846214479,5.66172389,0.807819053,4.074249801,-6.431211788,0.362796339,3.072,2.005594657,8.457783308
23792511,-0.814436861,6.219218248,0.943781313,4.154409503,-7.694648631,0.432074348,3.811,1.322390474,7.868382353
23792513,-1.609435388,6.539323763,0.083287569,4.390159346,-8.22184875,-0.006380366,3.214,2.211382948,7.868382353
23792515,-1.624711094,4.323691845,0.075145327,4.398359904,-8.878525734,-0.010529152,0.256,1.266576774,8.340709654
23792517,-1.299736551,4.466244698,0.443497678,3.980232679,-8.195626259,0.177160562,1.495,1.114584274,8.1837042
23792519,-1.36955377,3.920332055,0.254403046,3.987770581,-4.719144501,0.080809562,2.293,2.176273393,10.24667894
23792521,-1.088713447,6.206113815,0.634578023,4.420650157,-9.360862732,0.27452336,1.038,3.055230746,7.868382353
23792523,-0.649339615,4.097676764,0.757152999,3.310043381,-4.599371596,0.336980032,5.35,1.138741646,10.00766196
23792525,-1.057013907,4.150612455,0.556193914,3.987488844,-4.776955981,0.234583636,2.206,2.71190539,8.737221283
23792527,-2.099248792,6.497032166,-0.37089635,4.423020325,-9.117259979,-0.237804571,1.648,2.970727319,7.868382353
23792529,-0.080509805,4.792640371,1.626691357,3.83269576,-4.880206526,0.780043326,1.163,2.074083075,8.813254497
23792531,-0.4786571,4.634849632,1.187797002,3.703277132,-4.970599987,0.556409743,2.114,2.24835483,10.02043769
23792533,-1.526765813,6.505224228,0.155912689,4.418843446,-10,0.030624931,1.8,3.149610634,7.868382353
23792535,-1.264201729,4.13772127,0.455164749,3.196048771,-4.825083548,0.183105384,3.012,1.496209687,9.697580095
23792537,-0.711188065,5.549985639,1.051256741,4.003444528,-6.639974911,0.48683722,1.153,2.768054077,8.245461375
23792539,-0.598760338,4.225045128,0.81410103,3.257138565,-4.695147449,0.365997248,7.053,1.118125575,10.85675798
23792543,-1.163422497,5.354302343,0.466793502,4.299986262,-6.200866307,0.189030682,2.167,2.290310294,9.394489444
23792545,-1.232404577,3.959873904,0.364513474,4.035896696,-4.689402264,0.136915067,1.222,2.57891562,9.99394424
23792547,-1.167562952,3.929187767,0.492313296,3.827893193,-4.601021408,0.202034001,2.159,2.098383243,10.42342401
23792549,-0.082944247,5.887689604,1.624107724,4.228584864,-6.395342028,0.778726866,0.684,2.077260911,8.827028129
23792551,2.805091102,4.025665463,4.259312206,3.344261819,-3.424303312,2.121465075,0.538,0.399784831,11.30270633
23792553,-1.2687446,5.910344601,0.476164754,4.417903109,-7.943117619,0.193805696,0.094,1.684531088,9.413106181
23792555,-1.126186711,6.21506867,0.568506797,3.986785199,-7.640164518,0.240857524,3.145,2.965032875,8.192944929
23792557,-0.378368839,4.287508657,1.295597884,3.607577197,-4.551536396,0.611338446,0.926,2.108309755,9.991139237
23792559,-1.270804498,4.633981789,0.474070503,4.418598573,-5.321026624,0.192738595,3.821,1.690138152,9.412648713
23792561,-1.19365455,4.211914184,0.531734309,3.56080177,-4.864244752,0.222120525,3.574,1.878726734,10.0230974
23792563,-0.08915113,4.417594459,1.617528726,4.225655758,-6.872895202,0.775374613,0.619,2.056029336,8.858994051
23792565,-0.300448288,5.047847288,1.378323392,4.107230038,-5.296304615,0.653490279,0.658,2.060086553,9.939416315
23792567,-1.020325211,6.242365162,0.665881048,4.404219046,-7.385102784,0.290473457,1.255,2.523489496,7.990242331
23792569,-1.16774387,4.141462982,0.508731669,3.712164479,-4.801269059,0.210399794,3.363,2.323798844,10.03549242
