"comid","logQ_m3_div_s","logRT_lateral_hz_s_fill","junk","doc","logq_hz_lateral_m_div_s_fill","logw_m","LengthKM","no3","do"
23781179,-0.217257313673111,6.44394641836755,1.47527593126024,3.952503488,-9.39794000867204,0.702891333192618,1.463,2.63711692036016,8.882293564
23781181,-1.01354821278961,-0.31546813249588,0.235503196494338,1.555813972,-10.2245788574219,0.0711793605490444,0.392,0.11864790150706,11.97374397
23781183,-0.215233947694131,5.78739900057088,1.47740345442793,3.898841465,-6.63022771140304,0.703975388212531,0.27,2.61947957902631,8.882977796
23781187,-0.432111707827813,6.89903222109501,1.32985126168484,3.948236338,-7.04000516167158,0.62879186132487,8.213,2.52553260686255,8.695586001
23781189,-0.630922489828442,4.14136315930766,0.605520523437469,1.483021219,-4.17833019267527,0.259717444148464,2.488,0.116738404354872,12.0925371
23781191,-0.880782439561427,4.47927918517022,0.670078784604319,4.407035689,-5.08573619747747,0.292612365425739,2.266,1.91195885674603,10.37229402
23781193,-0.119917558954017,4.67012678974733,1.12838957453636,1.389834304,-4.27684800295358,0.526139370075486,5.802,0.116931634754676,11.33283591
23781195,-1.22739343158554,3.50054264618192,0.0621305346221235,1.357718355,-4.34960126982153,-0.0171606901126074,1.667,0.120109794329732,11.9769217
23781197,-0.460599681977095,4.30532139180962,0.776868188213466,1.461826337,-4.26415043192705,0.347025680818706,3.739,0.12314687797115,11.41836099
23781199,-0.752144587215552,4.19831117409651,0.620854077858355,0.781818182,-4.38602798053105,0.267530480888618,2.987,0.150455190240682,11.46983631
23781201,-1.31827326937799,3.67785470775532,0.0316104147234813,1.165041209,-4.42112539270781,-0.0327118670685409,1.647,0.14271485000043,11.16290673
23781203,-0.76936978421492,4.34371997299489,0.62919545748789,1.790906722,-4.48769502285083,0.271780735179196,3.596,0.115089520694094,11.84165255
23781205,-1.111474416928,4.52953284786261,0.462368045522524,3.862763607,-4.95239807430412,0.186775741487891,2.865,1.82202194574386,10.00555997
23781207,-1.06223368537299,4.05501250686092,0.351487090449711,1.555417236,-4.50370677913906,0.13027762300702,2.555,0.126958033758054,12.23804437
23781209,-0.805544231326318,3.81772002514031,0.481614592266937,1.039533934,-4.25043814819284,0.196582598535887,2.242,0.332269212807618,12.13179448
23781211,-0.965550814063397,3.88038310707304,0.334272757407156,0.816384844,-4.38348933643899,0.121506257116345,2.465,0.432756025690444,11.60581737
23781213,-0.171962473200836,5.86561621696498,1.52381537633697,4.023191683,-5.99714307393888,0.727624050526607,2.291,2.52347028855798,8.810095789
23781215,-1.02799593108827,3.85948312498491,0.323272731248478,1.365619593,-4.39105836944473,0.115901319974251,2.198,0.126630457974758,11.28625449
23781217,-0.171670215828886,6.41499137878418,1.52414287212404,4.366551783,-8.48732757568359,0.727790922243264,0.095,2.52277323432077,8.810177534
23781221,-0.608835394309413,3.79550505079457,0.767756780981208,0.932582496,-4.23396286109541,0.342383067785853,0.936,0.147114530038576,11.55423001
23781223,-1.14414850123277,3.98712028445399,0.257438566859814,0.981694159,-4.53854553263573,0.0823562768513645,2.534,0.15830623224253,11.70046978
23781225,-0.600864647741267,6.55665724931976,1.09346020957691,3.947092581,-7.66554624884907,0.508341512927991,5.477,1.8377684344301,8.592074977
23781227,-0.819357868633867,4.28402090065167,0.539590420533916,1.744221389,-4.55268040636951,0.226123516671414,4.095,0.0815900885084,10.67176664
23781229,-1.38598849512184,3.54213241673307,-0.0589857562944303,0.847947038,-4.39579283235691,-0.0788741065344071,1.464,0.182830671280814,8.98720379
23781231,-0.587341654390941,6.07872248346074,1.10817926390026,4.328413309,-7.79588001734407,0.515841438176057,0.52,1.84651331641078,8.596731255
23781233,-1.35288611562331,3.6426182717486,-0.0147532091971383,0.872374932,-4.43350607392969,-0.0563359196651208,1.644,0.189653414820014,10.11413748
23781235,-1.03982957600657,4.054035150332,0.307966447028274,1.778810801,-4.56566945419379,0.108102178472411,3.25,0.072500269096842,11.48068026
23781237,-0.581766431078629,6.55080782403545,1.1143206904602,4.329400968,-7.70553377383841,0.518970731614912,0.328,1.84397945085476,8.598634232
23781239,-0.43128096722076,4.0280725829243,0.818753590497717,1.105202485,-4.1385703500311,0.368367906985381,2.865,0.157435835382008,12.01514026
23781241,-1.08465950201606,3.46692409782509,0.191283300818516,0.781818182,-4.33752266205523,0.0486476200692785,1.56,0.301910775431828,11.46541917
23781243,-1.08977067649233,4.10366481714791,0.336979775200655,1.392270595,-4.57076818126776,0.122885586944776,2.842,0.149821437254634,11.44563228
23781245,-0.824910120466231,3.28991816962719,0.522561594534437,1.698513181,-4.21305063577988,0.217446673752186,0.63,0.075555667256034,10.69210741
23781247,-0.744839557088364,4.05098326044994,0.647969458362972,2.896462239,-4.22275012158768,0.281346811927987,1.739,0.46826168507495,10.6915236
23781249,-0.512685511949958,3.93118721836331,0.88580207653013,1.618231062,-5.10753250961289,0.402531693773925,1.413,0.122881757847798,11.82383685
23781251,-0.00352737263105218,4.38478213315646,1.25379338793834,1.277497746,-4.59141409409029,0.590037444398314,2.309,0.123914343644194,11.26830488
23781255,-1.04566458415958,6.41236019134521,0.733766852764115,4.382241307,-10.4712324142456,0.325063889846119,0.07,2.18519717220765,8.77069425
23781257,-0.746688641590522,4.18465850563008,0.523616419054371,0.906594893,-4.48008952683013,0.217984147482732,4.166,0.312724544018168,11.23038282
23781259,-0.864457794337843,4.05629379316339,0.432953264952084,0.781818182,-4.44635587408534,0.17178777752414,3.237,0.4415653212972,11.5881817
23781261,-1.27750920437008,3.82895301408193,0.0355898172434573,2.15579873,-4.51633723571085,-0.0306842081645377,2.243,0.079130992659148,9.650089421
23781263,-0.517274448033629,3.86616674290819,0.777194749986806,0.898445934,-4.35706088415625,0.347192076613186,1.36,0.39295819843404,11.840426
23781265,-1.25792050027614,3.7675341959888,0.142608435502473,0.781818182,-4.49251256295295,0.0238459009013091,1.982,0.189723655856912,10.2923818
23781267,-1.20023489469044,3.60842674556024,0.0681858617461616,1.056454743,-4.38998832594495,-0.0140752676515344,1.935,0.11838527591106,11.66435346
23781269,-1.28788372399066,3.8624660440968,0.121264305229581,0.781818182,-4.56652461649101,0.0129702442060891,2.244,0.194854959411398,10.79023132
23781271,-0.60978576559358,4.49122810284501,0.785023585045686,1.442016002,-4.50150393132976,0.351181169698676,4.541,0.152290885941266,10.82551052
23781273,-0.462414805898376,4.01554412076674,0.916185392580712,0.978932665,-4.62231135926663,0.418013163855771,1.2,0.152935963595826,11.43847422
23781275,-1.26239780316881,3.90602804481913,0.161876876828286,1.171548433,-4.56615973800612,0.0336639141190984,2.277,0.158416409584554,11.70169031
23781277,-1.33817209739131,3.71559549443281,0.0455576691365478,1.240408557,-4.43190428252059,-0.0256052036126579,1.589,0.16487115736514,10.60067777
23781279,-1.3190417062457,3.54821706013465,-0.0196329738152249,1.76619369,-4.3839915716567,-0.0588223477494723,1.594,0.10540582372703,11.90809892
23781281,-1.04593789728015,6.98984999416339,0.733550337022911,4.101882903,-7.74472749489669,0.324953566740651,5.861,2.18593540003422,8.770442035
23781283,-0.366797794096687,4.24454844791396,0.874678915990084,1.130681071,-4.24909849297387,0.396864014927475,4.039,0.125332392878332,11.59324302
23781285,0.0436992894440541,3.9577598931192,1.33438136270474,2.386220909,-4.82909612114581,0.631100122318469,0.658,0.37067795307749,11.00790885
23781287,-0.600864647741267,4.25856393377734,0.670412857299179,1.329407476,-4.40277506393691,0.292782588342666,4.172,0.281208712813298,12.08442584
23781289,-0.727425263487888,3.91606233350659,0.521856952170169,1.120348007,-4.16354533599791,0.217087631311513,2.105,0.12795688904725,12.05169633
23781291,-1.18641614082815,3.82130809739067,0.159717546180216,1.636203923,-4.56574625050126,0.0325636519514398,2.716,0.085684367162092,10.68944677
23781293,-1.13903709092256,3.72777195493141,0.172252552423688,0.935874738,-4.43736890207814,0.0389507205711789,2.224,0.151511652678898,11.57416018
23781295,-0.451949372268192,3.59818465270108,0.913617846015168,1.812392081,-4.00382994371633,0.416704899966405,0.596,0.142453514579698,11.91397701
23781297,-0.483684359068595,3.55981701648566,0.886310201640046,1.820589341,-4.01192465439894,0.402790603084093,0.489,0.140152803503792,11.53785303
23781299,-0.427611549545634,4.3571401955652,0.832764304940531,0.781818182,-4.3290877450754,0.375506905774101,4.414,0.133177380603418,11.20638516
23781301,-0.537315995222992,1.32402420043945,0.823591590198418,1.803316542,-4.90284538269043,0.370833054212232,0.15,0.142441935518628,12.05569829
23781303,-1.16163453813432,3.60448300308569,0.132355761753957,0.992470092,-4.32686957392524,0.0186217686253897,1.708,0.154208592929256,12.29571865
23781305,-1.12372704158054,3.58663871244086,0.158905021187544,0.781818182,-4.28226939885004,0.0321496391793982,1.635,0.180959585076348,12.29571865
23781307,-1.26920151124467,3.81389595050802,0.0925452076056063,1.278601561,-4.46388939410968,-0.00166324249187968,1.907,0.145741319675788,11.49075904
23781309,-1.35790369395105,6.28112411499023,0.371381919166651,4.399252702,-10.7741832733154,0.140414804711935,0.082,1.62388063291224,7.868382353
23781311,-1.36754247902617,6.56905776515367,0.361633413910056,4.131126684,-9.22184874961636,0.135447565705583,2.752,1.63510112430368,7.868382353
23781313,-0.510329442062565,3.61694086924605,0.797911232418469,1.483385582,-4.10530686312297,0.357747922549203,0.578,0.142462438943404,11.49352951
23781315,-0.9010614879524,3.89777742778392,0.385927854125337,0.994055873,-4.37676766608213,0.147826518966107,2.665,0.142204605308168,11.42536114
23781317,-0.0987853798500808,4.3206357423072,1.15410734317158,1.10012052,-4.17497005635092,0.539243564016991,2.608,0.185585308495152,11.8610436
23781319,-0.0987545032701959,5.79094886779785,1.15413475296564,1.60599678,-8.95268058776855,0.539257530362217,0.069,0.18563678860066,11.8610436
23781321,-0.874013113409494,3.68096724952545,0.39499420991851,1.1630906,-4.18685200350368,0.152446176544615,1.814,0.142752109986072,12.05709968
23781323,-1.06924435642604,3.54892968265882,0.246498580795801,1.716907458,-4.22591684473832,0.0767819324736539,1.483,0.088110010431548,12.07050591
23781325,-1.02420864526509,2.94709348678589,0.23663801418185,1.088807962,-4.59894037246704,0.0717575938931881,0.501,0.122493795724604,12.01516313
23781327,-1.09128548282169,3.76066501488426,0.221179420598498,1.672380685,-4.23094586064831,0.0638808449009537,1.465,0.075901199960504,11.6038974
23781329,-0.740352442002548,4.21947776140148,0.650598898172657,1.373892498,-4.38944254062168,0.282686612803178,2.997,0.139040167629436,11.89916243
23781331,0.46153402722517,4.71622285399939,1.69585889351278,2.538915308,-4.50982372521282,0.815286850783435,3.105,0.306600991397442,11.44831531
23781337,-0.946764579363782,4.03163360975622,0.427291314527863,1.23545442,-4.4075423527017,0.1689027956498,2.464,0.145399423978226,11.90170558
23781339,-0.685823732662701,3.77278512813572,0.599369908697716,0.825044183,-4.21308681200197,0.256583468998027,1.418,0.15925567865899,11.8699892
23781341,-0.463378834053892,4.42559516810945,0.857060977521578,1.155583471,-4.36784662979696,0.387886996527443,4.331,0.101632544571998,11.7404371
23781343,0.063183788417019,4.61975860088614,1.3924049811123,1.34362883,-4.3894079668784,0.660665391357859,2.526,0.127035809022666,11.35921601
23781345,-0.070023929926242,3.96745381977816,1.20924953123108,1.685361289,-4.42676044849729,0.567340633281373,1.234,0.07731441490442,11.79215115
23781347,-0.864097906573996,4.1110615601487,0.442934207756266,1.162765567,-4.47245842225221,0.176873452416188,3.404,0.475520107429704,10.94740415
23781349,-1.09847671257284,3.85779503397855,0.242268044827688,1.530803596,-4.39823178108296,0.0746263114090676,2.071,0.132836126001714,11.63500459
23781351,-1.2047435217394,3.88609104396863,0.150695051142714,0.781818182,-4.55148861313093,0.0279663431411505,2.544,0.129904967047126,11.17689284
23781355,-1.6236758266161,2.97383236885071,-0.365421977146112,1.601345348,-5.21038293838501,-0.235015167041649,0.186,0.090832943214492,11.77003157
23781357,-0.377693396562561,4.29998582871906,0.948515658412495,1.155944396,-4.30522638011055,0.434486679882816,2.562,0.420653244939836,10.3416422
23781359,-0.199027492813799,3.52625746327458,1.07887713345846,1.524175651,-3.9391598099175,0.500910873805787,0.681,0.075065628518074,11.66003877
23781361,-0.983170727657231,3.41207804938414,0.318230339187816,1.654641396,-4.00143916401949,0.113332026960646,0.999,0.087601005934192,12.08232579
23781363,-0.845007865825579,4.12033759612705,0.535850875471382,1.202572512,-4.39811701739596,0.224218074391637,2.715,0.148677357578592,11.08165405
23781365,-0.938467422079376,4.37634658813477,0.3668710299837,2.108371725,-6.98407316207886,0.138116332871088,0.323,0.073134120047726,11.72796272
23781367,-0.863648466007308,3.31099491074095,0.442793225939769,1.644226005,-4.0598462426294,0.176801616753971,0.556,0.073368644788116,11.46964897
23781369,-1.0754912153131,7.12032759416616,0.265996370495079,1.653102099,-8.82390874094432,0.0867168075143751,0.91,0.058092629815064,11.19093107
23781371,-0.12421786200675,4.07416621026764,1.19901427093462,1.275895151,-4.5243854624766,0.562125373827149,1.177,0.127012233344124,11.18172224
23781373,-0.678136904114683,4.34127433157645,0.669409867287783,1.526959626,-4.46957990963569,0.292271526292619,4.077,0.130090941312944,11.89055743
23781375,-0.690562301095562,3.6938402288468,0.625878106041455,1.410206768,-4.1493672410184,0.270090416807957,1.957,0.085757239112022,11.08448548
23781377,-0.676323807441356,4.00754414992641,0.627355613677559,1.166342012,-4.26367681600789,0.270843263857874,2.181,0.147222599972358,11.26002862
23781379,-0.762198312011439,3.00673699378967,0.5622333679865,2.023178771,-10.0759010314941,0.237660970745238,0.129,0.059890232329928,11.58023602
23781381,-0.802099916871603,3.0773755865967,0.479157656979192,2.015859789,-4.10191741332264,0.195330695352553,0.508,0.074476935863782,11.6802932
23781383,-0.257542049902718,4.36133703628776,0.989672247623873,1.286164586,-4.18091785333519,0.455457547706491,3.928,0.350325803472294,11.84531917
23781385,-1.07388460876975,5.00370264053345,0.249589657772943,1.459589153,-7.87710618972778,0.0783569552748684,0.289,0.060319598151738,11.78841905
23781387,-2.27149330830187,4.55964422225952,-0.985059650207063,2.15579873,-8.1135425567627,-0.55074443406846,0.228,0.071740671796428,11.61028404
23781389,-0.766415143497448,4.16238389405825,0.597892547656654,1.352579034,-4.40818179398109,0.25583069661203,3.117,0.140511790239784,12.0138629
23781391,-0.849158860105051,3.83256217434837,0.438827038722168,1.465457076,-4.25848619608533,0.174780691553971,2.162,0.141543188649144,12.08559088
23781393,-0.969774502358644,3.62905738844611,0.32029171923956,1.07085147,-4.25542708490585,0.114382379506908,1.845,0.16044570400944,11.71861435
23781395,-1.01545552583756,3.95859983509836,0.289499765873857,1.698629782,-4.26712462936163,0.0986926929602155,1.763,0.07188395460006,11.7133759
23781397,-0.969086783237708,2.63739943504333,0.321038892726055,1.59340813,-5.37553977966309,0.114763093183314,0.067,0.16225777987246,11.71861435
23781399,0.392367092274349,4.60267181620972,1.61311210164129,1.405248814,-4.27301294388478,0.773124172367434,2.357,0.273202743664578,11.54191865
23781401,-0.545573037037949,4.37922918309558,0.760218860156888,1.476040737,-4.36051242324609,0.338542206728528,3.907,0.503278099086976,11.3341762
23781403,-1.10312991226024,3.70809875479939,0.207095540419218,1.411164018,-4.39451630019981,0.0567045653461649,2.109,0.176648774695748,11.07643909
23781405,-1.04799324651707,3.83144962620351,0.241372130158436,1.797540725,-4.2483745652921,0.0741698083734913,1.649,0.063480511092262,11.4547736
23781407,-0.979988205162611,3.46017978181058,0.266631458809917,1.501957752,-4.23529645665298,0.0870404094620628,1.031,0.184796800507572,12.29522035
23781409,-0.963736999746824,3.92513439043542,0.375846436309156,1.788626937,-4.40230803332289,0.142689648200931,2.473,0.080028464073038,8.360345584
23781411,-1.3721534795727,4.47609343121734,-0.0639388833900115,1.742059484,-5.64305678041987,-0.0813979156550133,1.657,0.057012800767574,10.95513454
23781413,-1.13231413225175,3.78424655887408,0.196037940734524,1.517416854,-4.75254230418519,0.0510702922945731,1.111,0.05989514603986,11.80530731
23781415,-1.2370494828253,3.66147699145113,0.05872962075172,1.432410894,-4.32943003327844,-0.0188935867714708,1.562,0.07843151840774,11.7616217
23781417,-0.767709828140018,4.41661795701318,0.605326598682336,1.413274661,-4.5863501489467,0.259618632034331,4.647,0.134345377171688,11.81948995
23781419,-1.57947216394735,2.97946262359619,-0.339893778276756,1.374583245,-5.47771739959717,-0.22200756619621,0.198,0.083844710039638,12.18224945
23781421,-0.31786399225914,4.24767847881891,0.939983250489399,1.297150239,-4.21415138382306,0.430139089310867,3.891,0.12017031372883,11.73474383
23781423,-1.13298176425773,3.70657057970311,0.159717546180216,1.418208835,-4.40101482001459,0.0325636519514398,2.102,0.145187903842924,11.01533109
23781425,-1.02303996462509,3.84845184837389,0.297454099619072,1.713846837,-4.33468252782872,0.102745732465656,2.007,0.177503907919628,10.95715689
23781427,-0.935595164182427,3.78093888801924,0.35839175864902,1.657930943,-4.21838301379212,0.133795817473,1.76,0.423338880730048,11.14612107
